"us_cit","disability","gender","black","marriage_sit","education","birth_12m","native_eng","worker_type","earnings","hours","children","age","fullownership"
"yes","not disabled","male","non-black","married",21,"no","yes","private, profit",46800,45,3,43,"no"
"yes","not disabled","female","non-black","never married",22,"no","no","private, non profit",40000,40,0,31,"no"
"yes","not disabled","male","non-black","married",16,"no","yes","private, profit",50000,55,0,54,"no"
"yes","not disabled","female","black","never married",21,"no","yes","private, profit",85000,40,0,26,"no"
"yes","not disabled","male","non-black","married",17,"no","yes","private, profit",65000,40,3,32,"no"
"yes","not disabled","male","non-black","never married",21,"no","yes","private, profit",70000,40,0,26,"no"
"yes","not disabled","male","non-black","married",16,"no","yes","private, profit",70000,40,1,50,"no"
"yes","disabled","male","non-black","never married",20,"no","yes","public",85000,40,1,28,"no"
"no","disabled","female","non-black","married",16,"no","no","private, non profit",19000,40,0,54,"no"
"yes","not disabled","male","non-black","never married",21,"no","yes","private, profit",50000,40,0,25,"yes"
"yes","disabled","female","non-black","never married",16,"no","yes","private, profit",700,30,NA,29,"no"
"yes","not disabled","male","non-black","never married",21,"no","yes","private, non profit",74000,80,0,25,"no"
"yes","not disabled","male","non-black","married",21,"no","yes","private, profit",91000,40,2,46,"yes"
"yes","not disabled","female","non-black","married",21,"no","yes","private, non profit",5000,12,0,55,"no"
"yes","not disabled","male","non-black","Separated/divorced",22,"no","yes","private, profit",80000,40,0,43,"no"
"no","not disabled","female","non-black","married",16,"no","yes","private, non profit",85000,40,0,60,"no"
"yes","disabled","male","black","married",13,"no","yes","private, profit",44000,30,NA,38,"no"
"yes","not disabled","female","non-black","never married",19,"no","yes","private, profit",24000,40,0,47,"no"
"yes","not disabled","female","non-black","never married",17,"no","yes","private, profit",2500,25,0,27,"no"
"yes","not disabled","male","non-black","married",19,"no","yes","private, profit",75000,50,0,55,"no"
"yes","not disabled","male","non-black","never married",21,"no","yes","private, profit",115000,40,0,30,"no"
"yes","not disabled","female","non-black","Separated/divorced",17,"no","yes","private, profit",90000,40,0,42,"no"
"yes","not disabled","female","black","married",20,"no","yes","private, profit",165000,40,1,40,"no"
"no","not disabled","female","non-black","married",21,"no","no","private, profit",37000,40,0,60,"no"
"yes","not disabled","female","non-black","married",20,"no","yes","private, profit",29200,50,0,65,"yes"
"no","not disabled","male","non-black","married",21,"no","no","private, profit",20000,40,1,55,"no"
"no","not disabled","female","non-black","never married",12,"no","no","private, profit",35000,40,3,35,"no"
"no","not disabled","female","non-black","married",20,"no","yes","public",21100,25,0,51,"no"
"yes","not disabled","male","non-black","never married",22,"no","yes","private, non profit",129000,40,0,52,"no"
"yes","not disabled","male","black","Separated/divorced",19,"no","yes","private, profit",70000,30,0,51,"no"
"yes","not disabled","male","non-black","married",16,"no","yes","private, profit",60000,60,3,29,"no"
"yes","not disabled","female","non-black","married",15,"no","yes","public",7000,12,0,67,"yes"
"yes","disabled","male","black","never married",19,"no","yes","private, profit",5000,24,NA,39,"no"
"yes","not disabled","female","non-black","Separated/divorced",22,"no","yes","private, non profit",7500,40,0,60,"no"
"yes","not disabled","female","non-black","married",22,"no","yes","private, profit",225000,40,0,33,"no"
"no","not disabled","female","non-black","married",13,"no","no","private, profit",19200,20,2,41,"no"
"yes","not disabled","female","non-black","married",16,"no","yes","private, profit",30000,40,0,50,"no"
"yes","not disabled","male","non-black","married",24,"no","yes","public",52000,40,0,63,"yes"
"yes","not disabled","female","non-black","married",14,"no","no","private, profit",14000,20,0,59,"yes"
"yes","not disabled","male","non-black","married",16,"no","yes","private, profit",40000,40,0,52,"no"
"no","not disabled","male","non-black","married",24,"no","no","private, non profit",167000,38,0,61,"no"
"no","not disabled","female","non-black","married",21,"no","no","private, profit",36000,40,0,34,"no"
"no","not disabled","male","non-black","married",1,"no","no","private, profit",50000,40,1,46,"no"
"yes","not disabled","female","non-black","married",19,"no","yes","private, profit",10000,25,1,58,"no"
"no","not disabled","male","non-black","married",24,"no","no","public",97000,40,2,43,"no"
"yes","not disabled","male","non-black","never married",21,"no","yes","self_employed",16000,30,0,51,"no"
"yes","not disabled","male","non-black","never married",12,"no","yes","private, profit",18800,42,0,27,"no"
"yes","not disabled","male","black","married",16,"no","yes","public",30000,40,0,46,"no"
"no","not disabled","female","non-black","married",21,"no","no","self_employed",150000,50,2,49,"no"
"yes","not disabled","female","non-black","married",20,"no","yes","private, non profit",294000,30,0,26,"no"
"yes","not disabled","male","non-black","never married",21,"no","yes","private, non profit",10000,5,0,26,"no"
"yes","not disabled","male","non-black","married",17,"no","yes","private, profit",65000,40,2,37,"no"
"yes","not disabled","female","non-black","Separated/divorced",16,"no","yes","private, non profit",44800,40,1,55,"no"
"yes","not disabled","female","non-black","married",12,"no","yes","private, profit",27000,30,2,32,"yes"
"yes","not disabled","female","non-black","widowned",16,"no","yes","private, profit",12000,40,0,48,"no"
"yes","not disabled","male","non-black","married",16,"no","yes","private, profit",70000,40,0,59,"no"
"yes","not disabled","female","non-black","married",19,"yes","no","private, non profit",65000,40,2,30,"no"
"yes","disabled","female","non-black","Separated/divorced",21,"no","yes","public",1000,30,0,51,"no"
"yes","not disabled","male","non-black","never married",24,"no","no","private, non profit",80000,40,0,39,"yes"
"no","not disabled","male","non-black","married",24,"no","no","public",132000,50,3,52,"no"
"yes","not disabled","female","non-black","Separated/divorced",21,"no","yes","private, non profit",726000,40,1,52,"no"
"yes","not disabled","female","non-black","married",24,"no","yes","self_employed",150000,40,3,35,"no"
"yes","not disabled","male","black","never married",16,"no","yes","private, profit",8200,20,NA,32,"no"
"no","not disabled","male","non-black","never married",21,"no","no","private, non profit",40000,40,0,33,"no"
"yes","not disabled","male","non-black","married",21,"no","yes","private, profit",40000,40,0,63,"yes"
"yes","not disabled","male","non-black","married",19,"no","yes","private, profit",35400,40,0,45,"no"
"no","not disabled","female","non-black","married",22,"no","no","public",80000,40,3,41,"no"
"no","not disabled","male","non-black","never married",22,"no","no","private, profit",185000,40,0,30,"no"
"yes","not disabled","female","non-black","Separated/divorced",16,"no","yes","private, profit",55000,40,0,33,"yes"
"no","not disabled","female","non-black","married",21,"no","no","private, profit",87000,40,1,44,"no"
"yes","not disabled","female","non-black","married",18,"no","yes","private, profit",167000,40,2,41,"no"
"yes","not disabled","female","non-black","married",21,"no","yes","private, profit",18700,12,2,33,"no"
"yes","not disabled","female","non-black","married",21,"no","yes","private, profit",65000,40,0,65,"yes"
"yes","not disabled","female","non-black","married",21,"no","yes","private, profit",80000,55,0,34,"no"
"yes","not disabled","female","non-black","widowned",21,"yes","yes","private, profit",40000,50,0,49,"no"
"yes","not disabled","male","black","never married",19,"no","yes","private, profit",69000,40,0,50,"no"
"no","not disabled","male","black","married",22,"no","no","public",55000,30,1,33,"no"
"yes","not disabled","female","non-black","married",21,"no","yes","public",80000,40,0,62,"no"
"yes","not disabled","male","non-black","married",16,"no","yes","public",68000,40,2,41,"yes"
"yes","not disabled","female","non-black","married",24,"no","yes","private, profit",60000,36,2,32,"no"
"yes","not disabled","female","non-black","never married",21,"no","yes","public",60000,40,0,34,"no"
"yes","not disabled","female","non-black","married",17,"no","yes","private, profit",24000,38,4,41,"no"
"yes","not disabled","male","non-black","married",21,"no","yes","private, profit",120000,50,2,30,"no"
"yes","not disabled","male","non-black","never married",21,"no","yes","private, profit",100000,40,0,30,"no"
"yes","not disabled","male","non-black","married",23,"no","yes","private, profit",231000,50,0,52,"yes"
"yes","not disabled","male","non-black","married",21,"no","yes","private, profit",78000,40,3,39,"no"
"yes","not disabled","male","non-black","Separated/divorced",16,"no","yes","public",70000,40,0,31,"no"
"no","not disabled","female","non-black","married",21,"no","no","private, profit",100000,37,0,61,"no"
"no","not disabled","male","black","never married",22,"no","no","private, non profit",33000,40,NA,55,"no"
"yes","not disabled","female","non-black","married",21,"no","yes","private, profit",10000,50,1,43,"no"
"no","not disabled","male","non-black","never married",21,"no","no","public",40000,60,0,38,"yes"
"yes","not disabled","male","non-black","married",15,"no","yes","private, profit",35000,40,0,32,"yes"
"no","not disabled","female","non-black","married",21,"no","no","private, profit",116000,40,0,35,"no"
"yes","not disabled","female","black","married",23,"no","yes","self_employed",190000,45,0,44,"no"
"yes","not disabled","male","non-black","married",22,"no","yes","private, profit",215000,50,2,36,"no"
"yes","not disabled","male","non-black","married",21,"no","yes","private, profit",100000,40,2,32,"no"
"no","not disabled","male","black","never married",14,"no","yes","private, profit",31200,40,0,48,"yes"
"yes","not disabled","male","non-black","never married",22,"no","yes","public",70000,60,0,45,"no"
"yes","not disabled","female","non-black","married",19,"no","yes","private, profit",28000,38,0,57,"no"
"yes","not disabled","male","non-black","married",16,"no","yes","private, profit",46000,40,0,59,"no"
"yes","not disabled","male","non-black","never married",19,"no","no","public",30000,40,0,31,"yes"
"yes","not disabled","male","non-black","married",21,"no","yes","private, profit",75000,40,2,41,"no"
"no","not disabled","female","non-black","Separated/divorced",17,"no","no","private, profit",50000,40,0,51,"no"
"yes","not disabled","female","non-black","never married",19,"no","yes","private, profit",18000,25,0,26,"no"
"yes","not disabled","male","non-black","married",20,"no","no","public",89000,40,NA,41,"no"
"yes","not disabled","female","non-black","married",22,"no","yes","private, profit",60000,40,0,28,"no"
"yes","not disabled","male","non-black","married",18,"no","yes","self_employed",11000,40,0,56,"no"
"yes","not disabled","male","non-black","married",16,"no","yes","self_employed",1000,60,2,38,"no"
"yes","not disabled","male","non-black","married",19,"no","yes","private, non profit",45000,40,0,58,"yes"
"yes","disabled","male","non-black","Separated/divorced",16,"no","yes","public",18000,20,0,59,"no"
"yes","not disabled","female","non-black","never married",21,"no","yes","private, profit",35000,56,2,35,"no"
"yes","not disabled","male","non-black","married",22,"no","yes","public",138000,50,0,67,"no"
"yes","not disabled","female","non-black","married",19,"no","no","private, profit",35000,40,0,28,"no"
"yes","not disabled","female","non-black","married",21,"no","yes","private, profit",70000,40,0,64,"no"
"yes","not disabled","male","non-black","never married",21,"no","no","private, profit",40000,40,0,28,"no"
"yes","not disabled","female","non-black","married",21,"no","yes","public",50000,20,2,40,"no"
"yes","not disabled","female","non-black","married",21,"no","yes","public",68000,40,0,59,"no"
"yes","not disabled","male","non-black","married",18,"no","no","private, profit",56000,40,6,37,"no"
"yes","not disabled","female","non-black","married",21,"no","yes","private, profit",53000,40,1,29,"no"
"yes","not disabled","female","non-black","never married",21,"no","yes","private, profit",7500,24,0,28,"yes"
"yes","not disabled","female","black","married",19,"no","yes","private, profit",60000,37,1,43,"no"
"yes","not disabled","female","non-black","married",22,"no","yes","public",50000,40,0,65,"yes"
"yes","not disabled","male","black","never married",19,"no","yes","private, profit",123000,50,0,37,"no"
"yes","not disabled","male","non-black","never married",19,"no","yes","private, profit",49000,40,0,54,"no"
"no","not disabled","male","non-black","married",21,"no","no","private, profit",35000,45,0,31,"yes"
"no","not disabled","female","non-black","married",24,"no","no","public",45000,40,0,59,"no"
"no","not disabled","female","non-black","married",22,"no","no","private, profit",21000,35,3,36,"no"
"yes","not disabled","male","non-black","married",20,"no","yes","private, profit",50000,65,NA,51,"no"
"yes","not disabled","female","non-black","never married",19,"no","no","private, profit",25000,40,2,36,"no"
"no","not disabled","male","black","never married",18,"no","no","self_employed",20000,15,2,39,"no"
"yes","not disabled","female","black","never married",21,"no","yes","public",47500,37,0,31,"no"
"yes","not disabled","male","non-black","married",16,"no","yes","private, profit",60000,40,0,39,"no"
"yes","not disabled","female","non-black","never married",21,"no","yes","private, profit",45000,40,0,44,"no"
"yes","not disabled","male","black","never married",15,"no","yes","public",7200,17,0,25,"no"
"yes","not disabled","female","non-black","married",17,"no","yes","private, profit",28000,40,1,51,"no"
"yes","not disabled","male","non-black","never married",20,"no","yes","private, profit",3000,24,0,57,"yes"
"yes","not disabled","female","non-black","married",22,"no","yes","public",55000,50,0,52,"yes"
"yes","not disabled","male","non-black","Separated/divorced",22,"no","yes","self_employed",100000,30,0,45,"no"
"yes","not disabled","female","non-black","married",21,"no","yes","private, non profit",36000,40,1,44,"no"
"yes","not disabled","female","non-black","married",22,"no","yes","public",83000,40,0,57,"no"
"yes","not disabled","male","non-black","married",21,"no","yes","private, profit",270000,40,2,56,"no"
"no","not disabled","female","non-black","married",13,"no","no","private, profit",12000,45,0,48,"no"
"yes","not disabled","female","black","never married",16,"no","yes","private, profit",35000,40,0,58,"no"
"yes","not disabled","female","non-black","married",21,"no","yes","public",58000,40,2,38,"yes"
"yes","not disabled","female","non-black","married",18,"no","yes","private, profit",64000,50,0,56,"yes"
"no","not disabled","male","black","never married",19,"no","yes","public",63000,40,1,31,"no"
"yes","not disabled","female","black","Separated/divorced",16,"no","yes","public",5000,40,0,57,"yes"
"yes","not disabled","female","black","married",16,"no","yes","private, profit",56000,40,0,50,"no"
"no","not disabled","male","black","Separated/divorced",22,"no","no","private, profit",56000,60,0,45,"no"
"yes","not disabled","male","non-black","married",24,"no","yes","private, non profit",54000,40,0,29,"no"
"yes","not disabled","male","non-black","married",16,"no","yes","private, profit",55000,40,1,31,"no"
"yes","not disabled","male","non-black","married",21,"no","yes","public",165000,50,2,41,"no"
"yes","not disabled","male","non-black","married",20,"no","yes","private, profit",28000,40,3,37,"no"
"yes","not disabled","female","non-black","married",22,"no","yes","private, profit",90000,40,0,64,"yes"
"yes","not disabled","female","non-black","married",22,"no","yes","public",100000,32,1,46,"yes"
"yes","not disabled","female","non-black","married",19,"no","yes","public",25000,40,1,27,"no"
"no","not disabled","male","non-black","married",13,"no","no","private, profit",36100,40,4,30,"no"
"yes","not disabled","male","non-black","never married",20,"no","yes","private, profit",40000,55,0,25,"no"
"yes","not disabled","male","non-black","married",20,"no","yes","self_employed",159000,60,1,46,"no"
"yes","not disabled","male","black","married",21,"no","yes","private, profit",85000,40,2,30,"no"
"no","not disabled","male","non-black","married",24,"no","no","private, profit",200000,40,2,39,"no"
"yes","not disabled","female","non-black","Separated/divorced",19,"no","yes","private, profit",50000,40,0,56,"no"
"yes","not disabled","female","non-black","never married",20,"no","yes","private, profit",34000,46,0,30,"no"
"yes","not disabled","female","non-black","married",21,"no","yes","private, profit",7800,2,4,37,"no"
"yes","not disabled","female","non-black","never married",19,"no","yes","private, profit",108000,70,7,38,"no"
"yes","not disabled","female","non-black","married",21,"no","yes","self_employed",32000,40,0,49,"no"
"yes","not disabled","male","non-black","married",16,"no","yes","private, profit",37100,40,0,35,"no"
"yes","not disabled","male","non-black","married",23,"no","yes","private, profit",200000,60,0,58,"no"
"yes","not disabled","female","non-black","married",16,"no","yes","private, profit",39500,40,0,62,"yes"
"yes","not disabled","male","non-black","never married",20,"no","yes","self_employed",50000,40,0,32,"yes"
"yes","not disabled","female","non-black","married",19,"no","yes","private, non profit",30000,36,0,63,"yes"
"yes","not disabled","female","black","married",20,"no","yes","private, profit",25000,36,3,40,"yes"
"yes","not disabled","female","non-black","married",18,"no","yes","private, profit",6000,40,0,48,"no"
"yes","not disabled","male","non-black","married",16,"no","yes","private, profit",56000,40,0,50,"no"
"yes","not disabled","female","non-black","married",16,"no","yes","private, profit",18000,36,0,62,"yes"
"yes","not disabled","female","non-black","married",21,"no","yes","self_employed",42000,40,0,53,"no"
"no","not disabled","male","non-black","married",21,"no","no","private, profit",84000,40,0,46,"no"
"no","disabled","female","non-black","married",18,"no","no","private, non profit",57000,36,0,61,"no"
"yes","not disabled","male","black","married",20,"no","yes","private, profit",58000,40,1,51,"no"
"yes","not disabled","female","non-black","married",22,"no","no","public",60000,40,0,56,"yes"
"yes","not disabled","female","non-black","married",22,"no","yes","private, profit",125000,50,2,35,"no"
"yes","not disabled","male","non-black","married",21,"no","yes","private, profit",152000,40,0,43,"no"
"no","not disabled","male","non-black","never married",23,"no","no","private, profit",270000,60,0,38,"no"
"no","not disabled","female","non-black","married",7,"no","no","private, profit",24200,40,0,64,"no"
"yes","not disabled","female","non-black","married",18,"no","yes","private, profit",50000,40,3,39,"no"
"yes","not disabled","male","non-black","married",21,"no","yes","private, profit",100000,40,0,52,"no"
"yes","not disabled","female","non-black","married",21,"no","yes","private, profit",75000,40,3,37,"no"
"yes","not disabled","male","non-black","married",21,"no","yes","public",65000,45,0,56,"no"
"yes","not disabled","female","black","married",19,"no","yes","private, profit",48000,40,1,45,"no"
"yes","not disabled","male","non-black","married",17,"no","yes","private, profit",40000,40,0,51,"no"
"yes","not disabled","male","black","never married",21,"no","yes","private, profit",80000,40,0,38,"no"
"no","not disabled","female","non-black","married",22,"no","yes","private, profit",60000,40,0,54,"no"
"no","not disabled","female","non-black","married",17,"no","yes","private, profit",98000,40,0,61,"yes"
"yes","not disabled","male","non-black","married",16,"no","yes","private, profit",19800,45,0,65,"yes"
"yes","not disabled","male","non-black","never married",20,"no","yes","private, profit",70000,40,0,52,"no"
"yes","not disabled","male","non-black","Separated/divorced",16,"no","yes","private, profit",92000,45,1,55,"no"
"yes","not disabled","male","non-black","married",12,"no","yes","private, profit",68000,46,4,45,"no"
"yes","not disabled","female","non-black","never married",22,"no","yes","private, non profit",49000,40,0,31,"no"
"yes","not disabled","female","non-black","married",22,"no","yes","private, profit",125000,75,2,31,"no"
"yes","not disabled","male","non-black","Separated/divorced",19,"no","no","private, profit",48300,60,0,42,"no"
"yes","not disabled","male","non-black","married",19,"no","yes","public",85000,40,0,52,"no"
"yes","not disabled","male","non-black","never married",19,"no","yes","private, profit",3100,28,0,33,"no"
"yes","not disabled","male","non-black","never married",21,"no","yes","private, profit",92000,50,0,25,"no"
"no","not disabled","male","non-black","married",21,"no","yes","private, profit",150000,57,0,44,"yes"
"yes","not disabled","female","black","married",21,"no","no","private, profit",32000,40,0,38,"no"
"no","not disabled","male","non-black","Separated/divorced",21,"no","no","private, profit",75000,8,0,59,"yes"
"yes","not disabled","male","non-black","never married",24,"no","yes","public",35000,20,0,58,"no"
"yes","disabled","male","black","never married",16,"no","yes","public",4400,24,NA,54,"no"
"yes","not disabled","male","non-black","married",19,"no","yes","private, profit",85000,40,1,43,"no"
"no","disabled","female","non-black","married",9,"no","no","private, profit",58000,40,2,35,"no"
"no","not disabled","male","non-black","married",19,"no","no","private, profit",50000,40,0,55,"no"
"no","not disabled","female","non-black","married",19,"no","no","self_employed",36000,12,0,62,"no"
"yes","not disabled","male","non-black","Separated/divorced",16,"no","yes","private, profit",142000,50,0,48,"no"
"no","not disabled","male","non-black","married",1,"no","no","private, profit",30000,40,0,52,"no"
"yes","not disabled","male","non-black","married",16,"no","yes","public",6000,40,2,26,"no"
"yes","not disabled","male","non-black","Separated/divorced",16,"no","yes","private, profit",50000,47,0,30,"no"
"yes","not disabled","male","non-black","married",22,"no","yes","public",60000,40,0,49,"no"
"yes","not disabled","female","non-black","married",16,"no","yes","private, profit",35000,40,1,43,"no"
"yes","disabled","female","non-black","Separated/divorced",21,"no","yes","private, profit",60000,40,0,65,"yes"
"yes","not disabled","male","non-black","married",21,"no","yes","private, profit",23000,26,NA,36,"no"
"yes","not disabled","male","non-black","married",21,"no","yes","public",170000,40,0,53,"yes"
"yes","not disabled","female","non-black","married",22,"no","yes","private, non profit",140000,40,0,30,"yes"
"no","not disabled","male","non-black","married",21,"no","no","private, profit",17600,21,0,63,"yes"
"yes","disabled","female","non-black","married",21,"yes","yes","private, profit",21400,45,1,33,"no"
"no","not disabled","male","non-black","never married",16,"no","no","private, profit",35000,40,0,61,"no"
"yes","not disabled","female","non-black","married",18,"no","yes","private, profit",28000,40,2,37,"no"
"yes","not disabled","female","non-black","married",23,"no","yes","private, non profit",80000,36,2,35,"yes"
"yes","not disabled","male","non-black","married",19,"no","yes","private, profit",94000,45,0,56,"yes"
"yes","not disabled","male","non-black","married",18,"no","yes","private, profit",65000,35,2,53,"no"
"yes","not disabled","female","non-black","never married",19,"no","no","private, profit",144000,50,0,47,"no"
"yes","not disabled","male","non-black","married",22,"no","yes","private, profit",54000,20,0,67,"yes"
"yes","not disabled","female","non-black","married",16,"no","yes","public",11500,25,3,35,"no"
"no","not disabled","male","non-black","Separated/divorced",15,"no","no","private, profit",45000,55,0,37,"no"
"yes","disabled","male","non-black","married",17,"no","no","private, profit",66000,40,1,48,"no"
"yes","not disabled","male","non-black","never married",19,"no","no","private, profit",24000,40,0,39,"no"
"yes","not disabled","female","non-black","Separated/divorced",19,"no","yes","public",50000,60,0,51,"no"
"yes","not disabled","male","non-black","Separated/divorced",21,"no","yes","public",200000,40,0,56,"no"
"yes","not disabled","female","non-black","Separated/divorced",16,"no","yes","self_employed",100000,40,0,60,"no"
"yes","not disabled","female","non-black","married",22,"no","yes","private, profit",85000,40,0,65,"no"
"no","not disabled","female","non-black","married",18,"no","no","public",60000,45,1,45,"no"
"no","not disabled","male","non-black","married",23,"no","no","private, non profit",350000,45,3,53,"no"
"yes","not disabled","female","non-black","married",21,"no","yes","private, profit",40000,50,2,38,"no"
"yes","not disabled","female","non-black","Separated/divorced",16,"no","yes","private, profit",95000,40,NA,60,"no"
"yes","not disabled","female","non-black","never married",21,"no","yes","private, profit",136000,40,0,32,"no"
"no","not disabled","male","non-black","married",21,"no","no","private, profit",175000,50,5,42,"no"
"yes","not disabled","female","non-black","Separated/divorced",15,"no","yes","public",8700,40,NA,46,"no"
"yes","not disabled","female","non-black","married",22,"no","yes","public",130000,40,0,47,"no"
"yes","not disabled","female","black","never married",19,"no","yes","private, profit",21000,40,0,56,"yes"
"yes","not disabled","male","non-black","Separated/divorced",17,"no","yes","private, profit",10000,40,0,29,"no"
"yes","not disabled","female","non-black","married",21,"no","yes","private, profit",68000,40,1,38,"no"
"yes","not disabled","female","non-black","never married",21,"no","yes","public",45000,50,0,53,"no"
"yes","not disabled","male","non-black","Separated/divorced",16,"no","yes","private, profit",45000,40,0,64,"no"
"no","not disabled","female","non-black","never married",16,"no","yes","private, profit",33600,40,0,34,"no"
"yes","not disabled","male","non-black","Separated/divorced",21,"no","yes","private, profit",74000,45,0,41,"no"
"yes","not disabled","female","black","married",16,"no","yes","private, profit",43700,40,0,61,"no"
"yes","not disabled","male","non-black","never married",16,"no","yes","private, profit",4500,40,0,52,"yes"
"yes","not disabled","female","black","Separated/divorced",20,"no","yes","private, profit",53000,40,0,61,"no"
"yes","not disabled","male","non-black","never married",19,"no","yes","private, profit",30000,24,0,31,"no"
"no","not disabled","female","non-black","married",21,"no","no","private, profit",170000,50,0,28,"no"
"yes","not disabled","female","non-black","Separated/divorced",21,"no","yes","private, profit",113000,40,0,54,"no"
"yes","not disabled","female","non-black","Separated/divorced",20,"no","yes","public",47000,40,0,59,"yes"
"yes","not disabled","female","non-black","Separated/divorced",20,"no","yes","public",40000,40,2,44,"no"
"no","not disabled","male","non-black","married",19,"no","no","private, profit",75000,49,1,42,"no"
"yes","not disabled","male","non-black","married",21,"no","yes","private, profit",100000,40,0,29,"no"
"yes","not disabled","male","non-black","married",23,"no","yes","self_employed",503000,55,3,37,"no"
"yes","not disabled","female","non-black","married",21,"no","yes","private, profit",35500,40,2,48,"no"
"yes","not disabled","female","non-black","married",18,"no","yes","private, profit",50000,40,0,62,"yes"
"no","not disabled","male","black","married",21,"no","no","public",48000,40,0,51,"no"
"yes","not disabled","male","non-black","married",16,"no","yes","private, profit",115000,40,0,63,"no"
"yes","not disabled","male","non-black","married",20,"no","yes","private, profit",70000,40,3,38,"no"
"no","not disabled","female","non-black","married",21,"no","no","private, profit",52000,40,0,32,"no"
"yes","not disabled","male","non-black","never married",19,"no","yes","private, profit",50000,8,0,30,"no"
"yes","not disabled","female","non-black","Separated/divorced",19,"no","yes","private, profit",67000,40,2,33,"no"
"yes","not disabled","female","non-black","never married",19,"no","no","private, profit",6000,15,0,26,"no"
"yes","not disabled","female","black","never married",18,"no","yes","private, non profit",90000,37,0,36,"yes"
"yes","disabled","female","black","never married",21,"no","no","private, profit",70000,36,0,29,"no"
"yes","not disabled","female","non-black","married",20,"no","yes","private, profit",52000,30,0,67,"yes"
"yes","disabled","male","non-black","never married",20,"no","yes","private, profit",33000,40,0,30,"no"
"yes","not disabled","male","non-black","married",18,"no","yes","private, profit",60000,45,0,58,"no"
"yes","not disabled","female","non-black","never married",14,"no","yes","public",110000,45,0,63,"no"
"yes","disabled","male","non-black","married",18,"no","yes","public",44200,40,0,66,"no"
"yes","not disabled","female","non-black","married",20,"no","yes","private, non profit",30000,45,0,44,"no"
"yes","not disabled","female","black","Separated/divorced",17,"no","yes","private, profit",14500,40,0,48,"no"
"no","not disabled","female","black","never married",20,"no","no","private, profit",40000,40,0,45,"no"
"yes","not disabled","male","non-black","married",18,"no","yes","public",65000,40,2,45,"no"
"yes","not disabled","female","non-black","married",19,"no","yes","private, profit",107000,50,1,42,"no"
"no","not disabled","female","non-black","married",19,"no","yes","private, profit",85000,40,0,52,"no"
"yes","not disabled","male","non-black","married",19,"no","yes","public",50000,44,2,43,"no"
"yes","not disabled","male","non-black","never married",19,"no","yes","private, profit",10000,40,0,26,"no"
"yes","not disabled","female","non-black","never married",21,"no","yes","private, profit",36000,40,0,31,"yes"
"yes","not disabled","male","non-black","never married",21,"no","yes","private, profit",76000,40,0,26,"no"
"yes","not disabled","female","non-black","married",16,"no","yes","private, profit",32000,32,0,65,"yes"
"yes","not disabled","male","black","Separated/divorced",9,"no","yes","private, profit",490,20,0,48,"no"
"yes","not disabled","male","non-black","married",21,"no","yes","private, profit",52000,30,2,35,"no"
"no","not disabled","female","non-black","married",18,"no","yes","private, profit",100000,40,0,51,"no"
"yes","not disabled","male","non-black","never married",16,"no","yes","public",45000,40,0,36,"no"
"no","not disabled","male","non-black","never married",22,"no","no","private, profit",96000,40,0,25,"no"
"yes","not disabled","male","non-black","never married",22,"no","no","private, profit",180000,40,0,39,"no"
"yes","not disabled","male","non-black","never married",16,"no","yes","private, profit",8400,40,0,44,"yes"
"yes","disabled","male","black","never married",13,"no","yes","private, profit",130,8,NA,35,"no"
"yes","not disabled","male","non-black","married",19,"no","yes","private, profit",125000,84,4,39,"yes"
"yes","not disabled","male","non-black","married",18,"no","yes","private, profit",90000,40,0,43,"no"
"yes","not disabled","female","non-black","married",16,"no","yes","public",50000,40,1,44,"no"
"yes","not disabled","female","non-black","married",24,"no","yes","private, non profit",25000,20,2,42,"no"
"yes","not disabled","male","non-black","married",21,"no","yes","private, profit",200000,60,0,67,"yes"
"yes","not disabled","female","black","married",18,"no","yes","private, non profit",65000,40,0,60,"yes"
"no","not disabled","female","non-black","married",22,"no","no","private, profit",30000,25,0,52,"no"
"yes","not disabled","female","non-black","married",20,"no","yes","public",45000,62,0,62,"no"
"yes","not disabled","male","non-black","Separated/divorced",20,"no","yes","private, non profit",60000,38,0,32,"yes"
"yes","not disabled","female","non-black","married",20,"no","no","private, profit",28800,40,0,27,"no"
"yes","not disabled","female","non-black","married",23,"no","yes","public",55000,40,0,30,"no"
"yes","not disabled","female","non-black","married",23,"no","yes","private, non profit",220000,40,2,39,"yes"
"yes","not disabled","male","black","married",18,"no","yes","private, profit",41600,38,0,55,"no"
"yes","not disabled","male","non-black","married",20,"no","yes","private, profit",27000,40,1,59,"yes"
"no","not disabled","female","non-black","married",16,"no","no","private, profit",52000,40,0,57,"yes"
"yes","not disabled","male","non-black","married",17,"no","yes","private, profit",40000,40,2,45,"no"
"no","not disabled","female","non-black","widowned",16,"no","no","private, profit",15000,40,1,61,"no"
"yes","not disabled","female","black","married",22,"no","yes","public",120000,40,0,55,"no"
"no","not disabled","female","non-black","married",24,"no","no","self_employed",200000,80,2,46,"yes"
"yes","not disabled","female","non-black","married",21,"yes","yes","private, profit",53000,40,1,26,"no"
"yes","not disabled","male","non-black","married",15,"no","no","self_employed",10000,40,3,25,"no"
"no","disabled","male","non-black","married",16,"no","no","private, profit",21900,34,0,58,"no"
"yes","not disabled","female","non-black","married",16,"no","yes","public",21100,37,0,55,"yes"
"yes","not disabled","female","non-black","married",19,"no","yes","private, non profit",20000,40,0,53,"no"
